FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d37,312090,Aniakchak,20182,Confirmed Eruption,6,?,,,Ice Core,,-1645,10,,0,0,,,,,,,,,POINT (56.88 -158.17)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d38,312090,Aniakchak,20191,Confirmed Eruption,4,+,"NW & S caldera floor (Half Cone, Vent Mtn)",,Radiocarbon (corrected),,1540,100,,0,0,,,,,,,,,POINT (56.88 -158.17)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d39,312090,Aniakchak,20192,Confirmed Eruption,4,,West and SW caldera floor,,Historical Observations,,1931,,,5,1,,,1931,,>,6,13,,POINT (56.88 -158.17)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d3a,312100,Yantarni,20195,Confirmed Eruption,5,,,,Tephrochronology,,-800,500,,0,0,,,,,,,,,POINT (57.019 -157.185)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d3b,312180,Novarupta,20243,Confirmed Eruption,6,,,,Historical Observations,,1912,,,6,6,,,1912,,?,10,0,,POINT (58.27 -155.157)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d3c,312250,Kaguyak,20249,Confirmed Eruption,5,,Kaguyak caldera,,Radiocarbon (uncorrected),?,-3850,,,0,0,,,,,,,,,POINT (58.608 -154.028)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d3d,313010,Augustine,20262,Confirmed Eruption,4,?,,,Historical Observations,,1986,,,3,27,,,1986,,,8,31,,POINT (59.363 -153.43)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d3e,313010,Augustine,20263,Confirmed Eruption,4,?,,Tephra layer B,Radiocarbon (corrected),,1540,100,,0,0,,,,,,,,,POINT (59.363 -153.43)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d3f,313010,Augustine,20266,Confirmed Eruption,4,,,,Historical Observations,,1883,,,10,6,,?,1884,,,0,0,,POINT (59.363 -153.43)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d40,313010,Augustine,20272,Confirmed Eruption,4,,,,Historical Observations,,1976,,?,1,22,,,1977,,?,5,14,,POINT (59.363 -153.43)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1d41,313020,Iliamna,20274,Confirmed Eruption,4,P,,,Radiocarbon (uncorrected),?,-5050,,,0,0,,,,,,,,,POINT (60.032 -153.09)
