FID,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,GeoLocation
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ce9,300240,Tolbachik,20825,Confirmed Eruption,4,,Tolbachinsky Dol,,Historical Observations,,2012,,,11,27,,,2013,,,9,5,10,POINT (55.832 160.326)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cea,300250,Bezymianny,19329,Confirmed Eruption,4,,,Tephra layer BZ,Radiocarbon (corrected),?,-450,,,0,0,,,,,,,,,POINT (55.972 160.595)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ceb,300250,Bezymianny,19333,Confirmed Eruption,4,?,East summit region (Razrushenny dome),,Tephrochronology,,700,50,,0,0,,,,,,,,,POINT (55.972 160.595)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cec,300250,Bezymianny,19335,Confirmed Eruption,4,?,Summit region and western flank,,Tephrochronology,?,950,,,0,0,,,,,,,,,POINT (55.972 160.595)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1ced,300250,Bezymianny,19336,Confirmed Eruption,5,,,,Historical Observations,,1955,,,10,22,,,1957,,,3,1,,POINT (55.972 160.595)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cee,300260,Klyuchevskoy,19416,Confirmed Eruption,4,?,,,Historical Observations,,1829,,,9,9,,,,,,,,,POINT (56.056 160.642)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cef,300260,Klyuchevskoy,19468,Confirmed Eruption,4,,"Summit, SE, SW, NE and east flanks",,Historical Observations,,1986,,,11,27,,,1990,,,9,16,15,POINT (56.056 160.642)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf0,300260,Klyuchevskoy,19203,Confirmed Eruption,4,,,,Historical Observations,,1931,,,3,25,,,1931,,,3,27,,POINT (56.056 160.642)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf1,300272,Khangar,19487,Confirmed Eruption,4,P,,,Radiocarbon (corrected),,-9500,300,,0,0,,,,,,,,,POINT (54.761 157.407)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf2,300272,Khangar,19491,Confirmed Eruption,6,,,KHG tephra,Radiocarbon (corrected),,-5700,16,,0,0,,,,,,,,,POINT (54.761 157.407)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf3,300270,Sheveluch,17649,Confirmed Eruption,4,+,,,Tephrochronology,?,-3200,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf4,300270,Sheveluch,17653,Confirmed Eruption,5,,,Tephra layer SHdv,Radiocarbon (corrected),,-2620,300,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf5,300270,Sheveluch,17656,Confirmed Eruption,4,+,,,Tephrochronology,?,-2200,,,0,0,,,,,,,,,POINT (56.653 161.36)
VOTW_Holocene_Eruptions (test).fid--4d9842f7_162e410decd_1cf6,300270,Sheveluch,17658,Confirmed Eruption,5,,,,Radiocarbon (corrected),?,-2100,,,0,0,,,,,,,,,POINT (56.653 161.36)
